"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.88464879354281e-84,4.21954130760443,0.908,0.092,9.31337709483233e-80,"Uni Fibro (Pi16)","Steap3"
8.96988535070384e-76,4.04709871430159,0.916,0.139,2.89601718432824e-71,"Uni Fibro (Pi16)","Scara5"
8.21529884453877e-74,3.77131129297903,0.824,0.074,2.65239138494779e-69,"Uni Fibro (Pi16)","Ly6c1"
5.07775440772488e-73,3.92172042094486,0.798,0.067,1.63940378807805e-68,"Uni Fibro (Pi16)","Ccl11"
1.49783919675657e-71,3.31563156419128,0.95,0.151,4.83592363064825e-67,"Uni Fibro (Pi16)","Dpt"
5.59703012180168e-71,4.25411489037441,0.874,0.125,1.80705714512489e-66,"Uni Fibro (Pi16)","Efemp1"
2.37898247912779e-70,3.28103448596715,0.975,0.198,7.68078283211197e-66,"Uni Fibro (Pi16)","Clec3b"
1.73212615138018e-68,3.64144883962955,0.933,0.194,5.59234249234604e-64,"Uni Fibro (Pi16)","Ly6a"
1.40510854617113e-67,5.37268683390644,0.672,0.039,4.53653345216811e-63,"Uni Fibro (Pi16)","Arhgap20"
5.99820495376166e-65,4.99251834368418,0.655,0.035,1.93658045137149e-60,"Uni Fibro (Pi16)","Penk"
2.55002197446377e-64,5.61104409819325,0.647,0.039,8.23300094675374e-60,"Uni Fibro (Pi16)","Lrrn4cl"
2.21044337024925e-63,8.05130011401026,0.529,0.006,7.13663746518674e-59,"Uni Fibro (Pi16)","Rgs6"
2.4360252107122e-63,5.10301559046415,0.79,0.117,7.86495099530542e-59,"Uni Fibro (Pi16)","Sdk1"
1.27220041573855e-62,3.16225464803007,0.933,0.184,4.10742626225349e-58,"Uni Fibro (Pi16)","Mfap5"
1.32127534991367e-62,3.62660147789395,0.807,0.11,4.26586959473127e-58,"Uni Fibro (Pi16)","Plce1"
1.78284788244567e-61,3.22905644954898,0.857,0.127,5.7561026732641e-57,"Uni Fibro (Pi16)","Pcolce2"
1.18825075562124e-60,2.8812021669644,0.975,0.245,3.83638638959873e-56,"Uni Fibro (Pi16)","Ogn"
3.47447143520307e-60,3.04702595667473,0.933,0.207,1.12176784756966e-55,"Uni Fibro (Pi16)","Igfbp6"
3.53993871030377e-60,5.44993287644523,0.647,0.051,1.14290461200867e-55,"Uni Fibro (Pi16)","Nova1"
1.41672689077521e-59,3.30931731904122,0.891,0.174,4.57404443955686e-55,"Uni Fibro (Pi16)","Lbp"
1.46171722678399e-59,3.88413014021526,1,0.646,4.71930023839481e-55,"Uni Fibro (Pi16)","Plpp3"
1.79268601013774e-59,4.17362758681666,0.731,0.082,5.7878660523307e-55,"Uni Fibro (Pi16)","Ifi205"
2.51508671870634e-59,2.25530177952339,0.958,0.186,8.1202089800153e-55,"Uni Fibro (Pi16)","C3"
4.2601943970284e-58,3.82653304457324,0.706,0.074,1.37544636302459e-53,"Uni Fibro (Pi16)","Vgll3"
1.20908366630114e-57,3.39234285632318,0.84,0.151,3.90364752501985e-53,"Uni Fibro (Pi16)","Fndc1"
1.36209363824195e-57,2.90196774280967,0.958,0.26,4.39765552042797e-53,"Uni Fibro (Pi16)","Cd34"
3.36743096325059e-57,3.13179944216081,0.866,0.151,1.08720876079509e-52,"Uni Fibro (Pi16)","Fbln2"
3.92788500211926e-57,3.71472964164002,0.874,0.215,1.26815695178422e-52,"Uni Fibro (Pi16)","Adamts5"
7.46865328092189e-57,5.25075889241169,0.563,0.027,2.41132939827844e-52,"Uni Fibro (Pi16)","Efhd1"
2.24748039240641e-55,3.74053332593873,0.773,0.125,7.25621519492333e-51,"Uni Fibro (Pi16)","Aldh1a3"
8.69099646250169e-55,3.66710147724842,0.765,0.125,2.8059751178833e-50,"Uni Fibro (Pi16)","Ifi204"
1.1045055609653e-54,3.76294077180831,0.706,0.094,3.56600665413256e-50,"Uni Fibro (Pi16)","Emilin2"
4.47385883356993e-54,2.69159850070039,0.958,0.258,1.44443006300639e-49,"Uni Fibro (Pi16)","Zfpm2"
5.03985957213979e-54,4.44685587123588,0.571,0.035,1.62716906146105e-49,"Uni Fibro (Pi16)","Cadm3"
1.75976511116476e-53,2.86522048023416,0.941,0.288,5.68157763790654e-49,"Uni Fibro (Pi16)","Tnxb"
2.74492251690556e-53,2.61410389793388,0.966,0.356,8.86225683808129e-49,"Uni Fibro (Pi16)","Htra3"
6.17589762042489e-53,2.48745832911452,0.933,0.209,1.99395030573038e-48,"Uni Fibro (Pi16)","Ar"
9.93021891813917e-53,2.53413273928224,0.782,0.104,3.20607047991041e-48,"Uni Fibro (Pi16)","Ms4a4d"
1.73550623568423e-52,3.18369194696625,0.857,0.225,5.60325543253011e-48,"Uni Fibro (Pi16)","Scara3"
3.76747808157913e-52,4.6528741001906,0.681,0.094,1.21636797341864e-47,"Uni Fibro (Pi16)","Postn"
1.06511602853531e-51,3.15163598761745,0.773,0.127,3.43883360972909e-47,"Uni Fibro (Pi16)","Ifi211"
1.92501834343785e-51,3.42655599043528,0.992,0.714,6.21511422362346e-47,"Uni Fibro (Pi16)","Fbn1"
4.14702994007446e-51,2.67388176916287,0.958,0.317,1.33891008645244e-46,"Uni Fibro (Pi16)","Man1a"
1.72471248459575e-50,2.97050058992563,0.874,0.237,5.56840672776583e-46,"Uni Fibro (Pi16)","Clec2d"
2.55151326843159e-50,5.00646642968813,0.471,0.014,8.23781573845825e-46,"Uni Fibro (Pi16)","Car8"
3.77679173387478e-50,4.00951945743375,0.714,0.125,1.21937497919881e-45,"Uni Fibro (Pi16)","Tek"
4.58719689641744e-50,3.71328001636034,0.63,0.074,1.48102238997734e-45,"Uni Fibro (Pi16)","Angptl1"
9.78126360388627e-50,2.73578855654495,0.655,0.067,3.15797876715072e-45,"Uni Fibro (Pi16)","Ifi207"
1.12115686031761e-49,2.24377169190391,0.882,0.182,3.61976703922143e-45,"Uni Fibro (Pi16)","Sod3"
1.23958056260869e-49,4.04858404177593,0.765,0.172,4.0021098044384e-45,"Uni Fibro (Pi16)","Tmem100"
1.29907371945837e-49,5.33296385800765,0.664,0.104,4.19418941064331e-45,"Uni Fibro (Pi16)","Pla1a"
1.57136152034672e-49,2.73555038153949,1,0.593,5.07329780459141e-45,"Uni Fibro (Pi16)","Gsn"
2.62233468250959e-49,2.2114166102359,0.966,0.254,8.46646975595048e-45,"Uni Fibro (Pi16)","Cavin3"
5.52793188649431e-49,2.31125761291014,0.992,0.389,1.78474808887355e-44,"Uni Fibro (Pi16)","C1s1"
9.82038025776472e-49,2.6398898575465,0.832,0.18,3.17060797002192e-44,"Uni Fibro (Pi16)","Medag"
3.68841350195956e-48,2.87135992998327,0.697,0.098,1.19084118324266e-43,"Uni Fibro (Pi16)","Spon2"
4.78094365665715e-48,3.74728739158409,0.882,0.395,1.54357546898833e-43,"Uni Fibro (Pi16)","Cd248"
6.70937114168199e-48,3.3503802399453,0.731,0.141,2.16618756680345e-43,"Uni Fibro (Pi16)","Tppp3"
6.76751156990756e-48,2.76695094026156,0.849,0.194,2.18495878546035e-43,"Uni Fibro (Pi16)","Naaladl2"
1.1309126594306e-47,3.04573108997181,0.874,0.225,3.65126461223763e-43,"Uni Fibro (Pi16)","Cd55"
1.40163429380163e-47,3.41648399241447,0.756,0.16,4.52531648096795e-43,"Uni Fibro (Pi16)","Qpct"
1.60054039702717e-47,2.64447045561424,1,0.681,5.16750472584193e-43,"Uni Fibro (Pi16)","Timp2"
2.41469960047274e-47,3.50209499116506,0.613,0.065,7.79609913008629e-43,"Uni Fibro (Pi16)","Ace"
2.76826370726051e-47,2.26444382269436,0.992,0.663,8.93761620526129e-43,"Uni Fibro (Pi16)","Rnase4"
3.09402349781471e-47,2.26592206678351,0.983,0.352,9.98936426504458e-43,"Uni Fibro (Pi16)","C1ra"
5.91998220277352e-47,3.66993224607828,0.622,0.072,1.91132545398746e-42,"Uni Fibro (Pi16)","Smpd3"
7.56113065930482e-47,2.41448245283649,0.84,0.17,2.44118664466315e-42,"Uni Fibro (Pi16)","Gstt1"
9.61597093889493e-47,3.10682537048487,0.891,0.305,3.10461237733162e-42,"Uni Fibro (Pi16)","Anxa1"
2.03875959549486e-46,3.0153897022328,0.807,0.202,6.5823392300147e-42,"Uni Fibro (Pi16)","Adgrd1"
2.24049844428161e-45,2.83293112683217,0.958,0.474,7.23367327720762e-41,"Uni Fibro (Pi16)","Lpl"
2.74963787936108e-45,2.7496905003024,0.832,0.241,8.87748085730519e-41,"Uni Fibro (Pi16)","Olfml2b"
3.69273517293422e-45,2.32290603953602,0.992,0.536,1.19223647793354e-40,"Uni Fibro (Pi16)","Ahnak"
4.459322740448e-45,3.7711100726368,0.849,0.264,1.43973693998104e-40,"Uni Fibro (Pi16)","Pi16"
7.90854469198668e-45,2.22315405439338,1,0.577,2.55335273925482e-40,"Uni Fibro (Pi16)","Dcn"
1.01519317726572e-44,4.43326531611069,0.546,0.055,3.27765269212011e-40,"Uni Fibro (Pi16)","Zfhx4"
1.45124133974049e-44,5.15362419785623,0.462,0.025,4.68547778948614e-40,"Uni Fibro (Pi16)","Galnt16"
1.52195583100539e-44,3.02723138250363,0.714,0.127,4.913786595984e-40,"Uni Fibro (Pi16)","Osr1"
3.62327711982658e-44,2.24628213942999,0.992,0.521,1.16981125090721e-39,"Uni Fibro (Pi16)","Celf2"
1.2287626525253e-43,2.4519396331054,0.832,0.2,3.96718309994318e-39,"Uni Fibro (Pi16)","Xdh"
1.34998937337248e-43,2.19022705402792,0.95,0.317,4.3585756908704e-39,"Uni Fibro (Pi16)","Cavin1"
1.97495228029181e-43,2.64450379368651,0.899,0.354,6.37633093215015e-39,"Uni Fibro (Pi16)","Ifi27l2a"
2.4774260372236e-43,2.14298268317416,0.975,0.634,7.99861770378011e-39,"Uni Fibro (Pi16)","Islr"
2.8496631256404e-43,2.50925833662192,0.866,0.276,9.20042236744259e-39,"Uni Fibro (Pi16)","Slc1a5"
1.02031873242414e-42,2.58616605243999,0.874,0.288,3.29420105950457e-38,"Uni Fibro (Pi16)","Cdon"
2.20403448271563e-42,1.6578288999227,0.975,0.27,7.11594573089569e-38,"Uni Fibro (Pi16)","Adamts2"
2.69071324499559e-42,2.44031092767406,0.891,0.354,8.68723678279275e-38,"Uni Fibro (Pi16)","Htra1"
3.54218518081398e-42,2.13609780437684,1,0.847,1.1436299074776e-37,"Uni Fibro (Pi16)","Fstl1"
3.67391746795568e-42,3.03907416716417,0.706,0.143,1.18616099370417e-37,"Uni Fibro (Pi16)","Srpx"
4.88042760658458e-42,2.89175529273355,0.739,0.157,1.5756948570619e-37,"Uni Fibro (Pi16)","Col5a3"
6.18240505455966e-42,3.92326123000978,0.538,0.057,1.99605129591513e-37,"Uni Fibro (Pi16)","Eya2"
7.27005288045559e-42,2.35547253021249,0.95,0.703,2.34720927298389e-37,"Uni Fibro (Pi16)","Lamc1"
8.93847697641886e-42,3.33850058611636,0.655,0.121,2.88587667660659e-37,"Uni Fibro (Pi16)","Lgi2"
1.54816448843945e-41,2.60296767671979,0.874,0.346,4.9984038673756e-37,"Uni Fibro (Pi16)","Csf1"
2.75028549931816e-41,1.66684235284004,0.983,0.436,8.87957176309861e-37,"Uni Fibro (Pi16)","Rarres2"
2.9200299770565e-41,2.34123310319949,0.874,0.258,9.42760878392462e-37,"Uni Fibro (Pi16)","Ltbp1"
2.98585379230241e-41,2.12344487744583,0.983,0.705,9.64012755382757e-37,"Uni Fibro (Pi16)","S100a6"
1.05971369513463e-40,3.08905809919044,0.555,0.063,3.42139163611166e-36,"Uni Fibro (Pi16)","Ces2g"
1.21934541647103e-40,1.87390981893338,0.992,0.726,3.93677861161837e-36,"Uni Fibro (Pi16)","Cd47"
1.93420030268859e-40,2.52302040844217,0.924,0.505,6.24475909726037e-36,"Uni Fibro (Pi16)","Axl"
2.17732774844057e-40,1.87996902277072,0.95,0.36,7.02972036861524e-36,"Uni Fibro (Pi16)","Fxyd1"
3.07096354713909e-40,1.99199313130715,0.992,0.587,9.91491290829326e-36,"Uni Fibro (Pi16)","Serpinf1"
4.33139927145496e-40,6.84142998762703,0.361,0.008,1.39843556878195e-35,"Uni Fibro (Pi16)","Adamts16"
7.47773608706331e-40,2.37368465064518,0.916,0.456,2.41426187306926e-35,"Uni Fibro (Pi16)","Itih5"
1.67308125914364e-39,2.30796393573855,0.933,0.386,5.40171015327116e-35,"Uni Fibro (Pi16)","Gstm1"
1.81589871166169e-39,3.41502594942749,0.597,0.096,5.86281058047093e-35,"Uni Fibro (Pi16)","Adamtsl3"
2.06952261255685e-39,2.04928271247692,0.992,0.775,6.68166070690103e-35,"Uni Fibro (Pi16)","Nid1"
2.47256264606184e-39,3.73250091326674,0.613,0.112,7.98291575907525e-35,"Uni Fibro (Pi16)","Lurap1l"
2.57674589108028e-39,1.743331230202,0.84,0.204,8.31928178394181e-35,"Uni Fibro (Pi16)","Entpd2"
2.89720135493941e-39,1.75051392253148,0.992,0.429,9.35390429455736e-35,"Uni Fibro (Pi16)","Nfix"
3.50393975696789e-39,2.73340513560025,0.773,0.225,1.13128198993465e-34,"Uni Fibro (Pi16)","Anpep"
4.32396640034292e-39,2.15959618667909,0.908,0.307,1.39603579201471e-34,"Uni Fibro (Pi16)","Mgst1"
4.51545029552608e-39,2.36375703317728,0.958,0.636,1.45785828241355e-34,"Uni Fibro (Pi16)","Tgfbr3"
7.7976156229409e-39,5.4959017451257,0.378,0.014,2.5175381800227e-34,"Uni Fibro (Pi16)","Acss3"
1.29851336963325e-38,1.91517354679124,1,0.701,4.19238026519792e-34,"Uni Fibro (Pi16)","S100a10"
2.07190863245194e-38,3.13381634051494,0.639,0.121,6.68936421073435e-34,"Uni Fibro (Pi16)","Fap"
4.31431688314546e-38,3.70384042087592,0.487,0.051,1.39292034889234e-33,"Uni Fibro (Pi16)","Mustn1"
7.01836678738056e-38,2.34754181715912,0.79,0.225,2.26594990097369e-33,"Uni Fibro (Pi16)","Dhrs7"
7.47583941166164e-38,2.22201601925784,0.756,0.178,2.41364951244908e-33,"Uni Fibro (Pi16)","Ifi203"
1.17302928495153e-37,3.23199641077979,0.597,0.102,3.78724234939452e-33,"Uni Fibro (Pi16)","Dpp4"
1.37109314364095e-37,5.08410655424466,0.395,0.022,4.42671132355916e-33,"Uni Fibro (Pi16)","Aox3"
1.51286483316419e-37,2.93596916423403,0.706,0.184,4.88443540035389e-33,"Uni Fibro (Pi16)","Npr1"
1.70929004316557e-37,1.95826116719687,0.983,0.75,5.51861383336436e-33,"Uni Fibro (Pi16)","Ddr2"
1.98702323783662e-37,2.23690154989098,0.815,0.25,6.41530322567931e-33,"Uni Fibro (Pi16)","Thbd"
2.34282979780973e-37,2.378525929789,0.916,0.64,7.56406028520851e-33,"Uni Fibro (Pi16)","Serpinb6a"
3.82010810739294e-37,3.16375623696913,0.807,0.303,1.23336010355288e-32,"Uni Fibro (Pi16)","Gfpt2"
1.06678376766963e-36,1.93837537800568,0.958,0.638,3.44421807229816e-32,"Uni Fibro (Pi16)","Prrx1"
5.93355224136312e-36,2.72909074062823,0.782,0.233,1.9157066766465e-31,"Uni Fibro (Pi16)","Esr1"
7.8528402416975e-36,3.5561710378893,0.504,0.065,2.53536800043445e-31,"Uni Fibro (Pi16)","Lims2"
8.884504539246e-36,3.27175790073737,0.773,0.276,2.86845113554096e-31,"Uni Fibro (Pi16)","Ackr3"
9.2738116658614e-36,1.69575121500793,1,0.777,2.99414283444001e-31,"Uni Fibro (Pi16)","Serping1"
1.00291430920388e-35,6.01641257259762,0.336,0.01,3.23800913869565e-31,"Uni Fibro (Pi16)","Rgs7"
1.39859021501282e-35,2.61758594055765,0.773,0.207,4.51548836819039e-31,"Uni Fibro (Pi16)","Igf1"
1.88150253151256e-35,1.93898213463626,0.958,0.614,6.07461907324145e-31,"Uni Fibro (Pi16)","Heg1"
3.2006659797859e-35,2.67819645731464,0.529,0.076,1.03336701823368e-30,"Uni Fibro (Pi16)","Lmo2"
3.71089885003336e-35,1.72567459859469,0.992,0.808,1.19810080272177e-30,"Uni Fibro (Pi16)","Plxdc2"
1.00970344602035e-34,2.31457636283755,0.58,0.094,3.25992854582131e-30,"Uni Fibro (Pi16)","Zbtb16"
1.3430066412159e-34,1.58587840928947,0.992,0.479,4.33603124182966e-30,"Uni Fibro (Pi16)","Lum"
2.08637009807202e-34,4.31856570786018,0.403,0.031,6.73605449863533e-30,"Uni Fibro (Pi16)","Maob"
2.71915333929085e-34,2.67681451110227,0.546,0.08,8.77905847123445e-30,"Uni Fibro (Pi16)","Col6a6"
3.31870514595242e-34,3.27874049260121,0.655,0.174,1.0714771434222e-29,"Uni Fibro (Pi16)","Pcdh19"
4.994905879696e-34,2.3225814180523,0.555,0.08,1.61265531231865e-29,"Uni Fibro (Pi16)","Pi15"
5.80563340014971e-34,2.01468634756801,0.79,0.231,1.87440679957233e-29,"Uni Fibro (Pi16)","Mndal"
8.51452609270068e-34,2.6096513607754,0.798,0.305,2.74899989428934e-29,"Uni Fibro (Pi16)","Plac8"
9.84215255071361e-34,4.28399069975207,0.387,0.027,3.1776373725234e-29,"Uni Fibro (Pi16)","1700019D03Rik"
1.08277189733476e-33,1.42253381813627,1,0.843,3.49583734773502e-29,"Uni Fibro (Pi16)","Ifitm3"
1.23683623429632e-33,2.07870132159383,0.672,0.139,3.99324946604909e-29,"Uni Fibro (Pi16)","Ptprm"
1.61896352093077e-33,4.68727261914508,0.303,0.006,5.22698562367709e-29,"Uni Fibro (Pi16)","Ackr1"
2.5670122332524e-33,3.3696488439784,0.563,0.112,8.28785569627871e-29,"Uni Fibro (Pi16)","Thbs2"
2.72776702085824e-33,1.89498402236092,0.933,0.616,8.80686860354291e-29,"Uni Fibro (Pi16)","S100a13"
3.1260895762107e-33,1.60708415185234,0.882,0.288,1.00928928057539e-28,"Uni Fibro (Pi16)","Abi3bp"
4.90132791339723e-33,3.22311817819362,0.462,0.055,1.58244273011943e-28,"Uni Fibro (Pi16)","Arsi"
8.84830978593086e-33,2.41991557203908,0.849,0.44,2.85676529748564e-28,"Uni Fibro (Pi16)","Slfn5"
9.2292539551289e-33,1.66448032822813,0.756,0.172,2.97975693195292e-28,"Uni Fibro (Pi16)","Prelp"
1.23615687209871e-32,3.60845162941337,0.563,0.112,3.99105607725789e-28,"Uni Fibro (Pi16)","Pcsk6"
1.40211346939945e-32,1.91406012385972,0.941,0.571,4.52686354730306e-28,"Uni Fibro (Pi16)","Nbl1"
1.68811019669447e-32,2.5377559792265,0.891,0.476,5.45023258104776e-28,"Uni Fibro (Pi16)","Ebf2"
3.38968775955592e-32,1.58847231094947,0.992,0.812,1.09439459005023e-27,"Uni Fibro (Pi16)","S100a11"
5.313471342623e-32,3.08157153526019,0.807,0.362,1.71550735767926e-27,"Uni Fibro (Pi16)","Sema3c"
5.79674672340666e-32,1.85407659463318,0.622,0.117,1.87153764711908e-27,"Uni Fibro (Pi16)","Gda"
6.61313584903501e-32,2.66506215721407,0.849,0.35,2.13511704021944e-27,"Uni Fibro (Pi16)","Meg3"
8.8605960500283e-32,2.90728858209454,0.63,0.16,2.86073204071214e-27,"Uni Fibro (Pi16)","Megf9"
9.58641691023884e-32,1.52386109920661,0.941,0.491,3.09507056363971e-27,"Uni Fibro (Pi16)","Mmp23"
1.42948872492519e-31,1.62398174583444,0.899,0.415,4.61524729729345e-27,"Uni Fibro (Pi16)","Gstm2"
1.45664138662058e-31,4.44492551816501,0.319,0.014,4.7029123808432e-27,"Uni Fibro (Pi16)","Edn1"
1.85328985121793e-31,3.20205189309309,0.37,0.027,5.98353161364221e-27,"Uni Fibro (Pi16)","Adam33"
2.33358150407845e-31,4.44904589391653,0.336,0.018,7.53420124406769e-27,"Uni Fibro (Pi16)","Ism1"
3.10203996442041e-31,3.63890233838921,0.378,0.029,1.00152462291277e-26,"Uni Fibro (Pi16)","Srpx2"
5.95097110856132e-31,2.78943303279699,0.731,0.268,1.92133053211011e-26,"Uni Fibro (Pi16)","Metrnl"
6.15829430896366e-31,1.83814912331675,0.983,0.81,1.98826690059201e-26,"Uni Fibro (Pi16)","Marcks"
6.19338774372078e-31,3.6976411891196,0.471,0.068,1.99959716693769e-26,"Uni Fibro (Pi16)","Adm"
8.38455713485441e-31,2.09513932892007,0.571,0.106,2.70703811655909e-26,"Uni Fibro (Pi16)","AW112010"
8.93906299697514e-31,4.17339887739101,0.37,0.029,2.88606587920339e-26,"Uni Fibro (Pi16)","Galnt15"
1.86532869579651e-30,1.67344022616208,0.849,0.319,6.02240022724862e-26,"Uni Fibro (Pi16)","Camk2d"
1.95218916112615e-30,2.00546239484733,0.798,0.288,6.30283792561189e-26,"Uni Fibro (Pi16)","Pdpn"
2.14652173503062e-30,2.29734291374472,0.908,0.568,6.93026007371986e-26,"Uni Fibro (Pi16)","Prss23"
2.23313696095714e-30,0.992431545401378,0.941,0.305,7.20990599214622e-26,"Uni Fibro (Pi16)","Nupr1"
2.50229270808876e-30,1.1822883118666,1,0.867,8.07890223733537e-26,"Uni Fibro (Pi16)","Sparc"
4.9048049854353e-30,1.78492080311927,0.958,0.708,1.58356533759764e-25,"Uni Fibro (Pi16)","Aebp1"
6.13983227946863e-30,1.63778603634496,0.908,0.476,1.98230624974924e-25,"Uni Fibro (Pi16)","Loxl1"
1.18897724758604e-29,1.98562804502106,0.782,0.292,3.8387319415563e-25,"Uni Fibro (Pi16)","Ehd2"
1.50322484751215e-29,2.32147198043375,0.832,0.337,4.85331174267774e-25,"Uni Fibro (Pi16)","Dpysl3"
1.99380438215216e-29,2.95349588797207,0.487,0.078,6.43719682821646e-25,"Uni Fibro (Pi16)","Ebf3"
2.01224910457866e-29,2.400075665382,0.655,0.184,6.49674745904266e-25,"Uni Fibro (Pi16)","Thbs3"
2.19650158999547e-29,0.684939892694907,0.807,0.221,7.09162503345937e-25,"Uni Fibro (Pi16)","Slc4a4"
2.62712667037559e-29,1.07774690360146,1,0.943,8.48194116797464e-25,"Uni Fibro (Pi16)","Zbtb20"
2.66210139108347e-29,1.66550328955119,0.941,0.683,8.59486055125208e-25,"Uni Fibro (Pi16)","Antxr1"
4.03085815110441e-29,1.42028128699503,0.874,0.417,1.30140286266557e-24,"Uni Fibro (Pi16)","Dpep1"
4.84103396350497e-29,3.17821002595751,0.462,0.068,1.56297622545722e-24,"Uni Fibro (Pi16)","Clip4"
6.15283579640481e-29,1.46328354122801,1,0.855,1.98650456522726e-24,"Uni Fibro (Pi16)","Col3a1"
7.0116036255336e-29,2.07759510399952,0.916,0.622,2.26376634653978e-24,"Uni Fibro (Pi16)","Txnip"
9.75187628764355e-29,6.06294063096291,0.252,0.004,3.1484907782286e-24,"Uni Fibro (Pi16)","Islr2"
1.02901936003177e-28,3.3648165418845,0.462,0.068,3.32229190579856e-24,"Uni Fibro (Pi16)","C4b"
1.15039429186159e-28,1.43219525890838,0.975,0.769,3.71416301070434e-24,"Uni Fibro (Pi16)","Col5a1"
1.15561418482633e-28,1.11515265461854,1,0.853,3.73101595713029e-24,"Uni Fibro (Pi16)","Psap"
1.18853833323225e-28,2.78487513216919,0.773,0.354,3.83731486267365e-24,"Uni Fibro (Pi16)","Creb5"
1.19223345062523e-28,3.22143767169834,0.496,0.082,3.84924491868861e-24,"Uni Fibro (Pi16)","Thsd7a"
1.32717593459371e-28,1.90317810612531,0.563,0.125,4.28492022242926e-24,"Uni Fibro (Pi16)","Plau"
1.62418884237713e-28,1.42174103418531,0.966,0.628,5.24385609649881e-24,"Uni Fibro (Pi16)","H2-D1"
1.66698528012403e-28,1.52218538108084,0.655,0.133,5.38202867540845e-24,"Uni Fibro (Pi16)","Foxp2"
2.13305807654992e-28,2.91531957156545,0.529,0.112,6.88679130594907e-24,"Uni Fibro (Pi16)","Vit"
2.4373032588427e-28,1.64118611446565,0.924,0.624,7.86907730149953e-24,"Uni Fibro (Pi16)","Ddah2"
2.67773634943187e-28,3.63829528058745,0.403,0.049,8.64533957777574e-24,"Uni Fibro (Pi16)","Trim30d"
3.01377113788265e-28,2.41093933473075,0.63,0.178,9.73026149576792e-24,"Uni Fibro (Pi16)","Rab30"
4.4412995264676e-28,1.81089082603324,0.748,0.245,1.43391796511533e-23,"Uni Fibro (Pi16)","Scn7a"
5.04655629143326e-28,2.15454205308513,0.773,0.264,1.62933116425214e-23,"Uni Fibro (Pi16)","Ctsh"
8.16124937933507e-28,1.94439321139299,0.681,0.178,2.63494097461212e-23,"Uni Fibro (Pi16)","Ahnak2"
8.3119838643026e-28,1.48766518815389,0.933,0.603,2.68360711042874e-23,"Uni Fibro (Pi16)","Mxra8"
9.03910569015086e-28,2.82386712740614,0.563,0.133,2.91836566312211e-23,"Uni Fibro (Pi16)","Pamr1"
1.06183738209585e-27,4.60335218566385,0.664,0.233,3.42824817183467e-23,"Uni Fibro (Pi16)","Tnfaip6"
1.10146300400796e-27,1.67838793781512,0.866,0.399,3.55618345474011e-23,"Uni Fibro (Pi16)","Lamb2"
1.23990462988609e-27,1.82767648089545,0.689,0.2,4.00315608805022e-23,"Uni Fibro (Pi16)","Vegfd"
1.28518494147145e-27,1.86171972191084,0.849,0.477,4.14934810203472e-23,"Uni Fibro (Pi16)","Frmd6"
1.38694983468622e-27,3.13746667379798,0.42,0.059,4.47790623626793e-23,"Uni Fibro (Pi16)","Gm10115"
1.40010120080196e-27,1.72539556007225,0.664,0.164,4.52036673690919e-23,"Uni Fibro (Pi16)","C1qtnf2"
1.4081190999809e-27,6.38186215732135,0.244,0.004,4.54625332619834e-23,"Uni Fibro (Pi16)","Krtdap"
1.53279096814181e-27,1.32695002907225,0.941,0.497,4.94876891974264e-23,"Uni Fibro (Pi16)","Pmp22"
1.883444208912e-27,2.09369812138615,0.622,0.182,6.0808879728933e-23,"Uni Fibro (Pi16)","Ptges"
2.01558613022976e-27,1.25020968241727,0.983,0.847,6.50752138005979e-23,"Uni Fibro (Pi16)","Lrp1"
2.15192083145946e-27,1.93598094445162,0.664,0.2,6.94769159645002e-23,"Uni Fibro (Pi16)","Naaa"
3.29445018975517e-27,3.68361442183076,0.311,0.02,1.06364618826435e-22,"Uni Fibro (Pi16)","Xpnpep2"
4.26046570607826e-27,1.70256928534841,0.908,0.693,1.37553395786443e-22,"Uni Fibro (Pi16)","Man2a1"
4.90700988051768e-27,3.24934119576695,0.504,0.102,1.58427721002394e-22,"Uni Fibro (Pi16)","Scd1"
5.65379607968106e-27,1.98400981454938,0.597,0.127,1.82538460228583e-22,"Uni Fibro (Pi16)","Sfrp4"
9.76474713767656e-27,1.57406765370487,0.924,0.783,3.15264626087025e-22,"Uni Fibro (Pi16)","Col14a1"
9.91365851499474e-27,1.38896747629854,0.908,0.489,3.2007237881512e-22,"Uni Fibro (Pi16)","Fbln5"
1.04273297858184e-26,1.69862722871974,0.857,0.493,3.36656769464933e-22,"Uni Fibro (Pi16)","Rras"
1.12592809280365e-26,2.07948809916843,0.529,0.104,3.63517144042585e-22,"Uni Fibro (Pi16)","Mgll"
1.16232851733913e-26,1.43355994306911,0.815,0.311,3.75269385108112e-22,"Uni Fibro (Pi16)","Magi2"
1.25765095364207e-26,1.51394881721395,0.782,0.229,4.06045186892879e-22,"Uni Fibro (Pi16)","Pcdh7"
1.35630204846831e-26,1.20672651634894,0.983,0.863,4.3789567936848e-22,"Uni Fibro (Pi16)","Vim"
1.40567059423592e-26,1.90164635386085,0.815,0.399,4.53834808055011e-22,"Uni Fibro (Pi16)","Fam102b"
1.41522325459782e-26,2.20298299959493,0.353,0.033,4.56918979979453e-22,"Uni Fibro (Pi16)","Sytl2"
1.44003597106366e-26,1.38023275494568,0.908,0.585,4.64930013617612e-22,"Uni Fibro (Pi16)","Nav1"
2.44118950345869e-26,1.0237775748282,0.689,0.186,7.88162443086672e-22,"Uni Fibro (Pi16)","Cfb"
